Date,Time,No.,PAR,F1,F2,Fm'1,Fm'2,Fo'1,Fo'2,EY1,EY2,m1,m2,Y(II)1,Y(II)2,Y(NPQ)1,Y(NPQ)2,Y(NO)1,Y(NO)2,NPQ1,NPQ2,qN1,qN2,qP1,qP2,qL1,qL2,ETR1,ETR2,Abs.1,Abs.2,Inh.1,Inh.2
18.01.19,14:21:44,1,0,0.2078,0.2333,0.3706,0.4211,0.2078,0.2333,0.439287642,0.445974828,0,0,0.439,0.446,0,0,0.561,0.554,0,0,0,0,1,1,1,1,0,0,0,0,0,-0.015
18.01.19,14:21:55,2,1,0.2103,0.2387,0.3696,0.4167,0.2075,0.232,0.431006494,0.427165827,0.431006494,0.427165827,0.431,0.427,0.001,0.003,0.568,0.57,0,0,0,0,0.984,0.965,0.971,0.937,0.2,0.2,0,0,0,0.009
18.01.19,14:22:05,3,11,0.223,0.2495,0.3598,0.4113,0.2044,0.2303,0.380211228,0.393386822,4.182323513,4.327255045,0.38,0.393,0.018,0.017,0.602,0.59,0.008,0.008,0.067,0.051,0.878,0.894,0.805,0.825,1.8,1.8,0,0,0,-0.035
18.01.19,14:22:15,4,21,0.2412,0.2814,0.3407,0.399,0.1981,0.2264,0.292045788,0.294736842,6.13296155,6.189473684,0.292,0.295,0.06,0.04,0.648,0.665,0.024,0.016,0.173,0.114,0.698,0.682,0.573,0.549,2.6,2.6,0,0,0,-0.009
18.01.19,14:22:25,5,36,0.249,0.2907,0.3284,0.3853,0.1939,0.2219,0.241778319,0.245522969,8.704019488,8.838826888,0.242,0.246,0.085,0.065,0.673,0.689,0.031,0.024,0.239,0.18,0.592,0.58,0.461,0.443,3.7,3.7,0,0,0,-0.016
18.01.19,14:22:35,6,81,0.2676,0.3162,0.3132,0.373,0.1885,0.2178,0.14559387,0.15227882,11.79310345,12.33458445,0.146,0.152,0.135,0.094,0.72,0.753,0.047,0.031,0.314,0.235,0.365,0.365,0.257,0.251,5,5.2,0,0,0,-0.047
18.01.19,14:22:45,7,146,0.275,0.3255,0.3,0.3593,0.1836,0.213,0.083333333,0.094071806,12.16666667,13.73448372,0.083,0.094,0.175,0.133,0.742,0.773,0.059,0.043,0.376,0.298,0.216,0.231,0.144,0.151,5.1,5.8,0,0,0,-0.13
18.01.19,14:22:55,8,281,0.2814,0.3333,0.2912,0.3525,0.1803,0.2106,0.033653846,0.054468085,9.456730769,15.30553191,0.034,0.054,0.204,0.15,0.762,0.796,0.067,0.047,0.416,0.325,0.09,0.133,0.058,0.084,4,6.4,0,0,0,-0.611
18.01.19,14:23:05,9,611,0.2127,0.2505,0.2975,0.3544,0.1827,0.2113,0.285042017,0.293171558,174.1606723,179.1278217,0.285,0.293,0.142,0.112,0.573,0.595,0.063,0.047,0.388,0.318,0.737,0.725,0.633,0.612,73.1,75.2,0,0,0,-0.029
18.01.19,14:23:15,10,926,0.2716,0.327,0.2745,0.3309,0.1737,0.2027,0.010564663,0.011786038,9.78287796,10.91387126,0,0,0.257,0.211,0.743,0.789,0.086,0.067,0.486,0.412,0,0,0,0,0,0,0,0,0,0
18.01.19,14:23:25,11,1251,0.2534,0.3093,0.2544,0.3083,0.1655,0.194,0.003930818,-0.003243594,4.91745283,-4.057735971,0,0,0.313,0.265,0.687,0.735,0.114,0.09,0.565,0.498,0,0,0,0,0,0,0,0,0,0
